Average m/z,Average rt,Average sn,Average score,example,ex_1,ex_2,ex_3
442.3027,17.42,5000.0,1.0,2222612.0,0.0,0.0,0.0
442.34013,8.453,5000.0,1.0,0.0,8009707.0,7728495.0,7722923.0
449.28573,6.687,1670.6346028645833,1.0,0.0,1111653.1,799785.1,996210.44
449.33968,16.707,4.950666745503743,1.0,0.0,2009350.5,2051081.2,1948153.9
451.25342,7.577,5000.0,1.0,0.0,983199.0,976056.56,1085297.9
453.36572,16.673,5000.0,1.0,0.0,4477617.0,4334240.5,4222326.5
454.37329,14.013,5000.0,1.0,0.0,2597569.5,4293205.5,1824163.5
457.30733,12.697,5000.0,1.0,0.0,20708796.0,14465615.0,20732652.0
458.31148,12.697,5000.0,1.0,0.0,2604882.0,2378553.0,2382596.5
464.37589,17.42,5000.0,1.0,2229020.8,0.0,0.0,0.0
465.26831,14.75,5000.0,1.0,0.0,1138482.1,0.0,0.0
473.2666,10.07,5000.0,1.0,0.0,10524627.0,10435478.0,3549124.0
477.37329,17.26,5000.0,1.0,0.0,19876004.0,20215532.0,19944450.0
478.37687,17.303,3335.76171875,1.0,0.0,3268402.8,3319758.8,3424751.8
493.41398,17.637,5000.0,1.0,0.0,500960.28,490959.6,483593.75
500.38041,9.583,5000.0,1.0,0.0,8045587.5,8003264.0,2949575.2
508.99516,0.64,5000.0,1.0,0.0,1201393.6,1185022.8,1192229.6
515.01111,0.64,5000.0,1.0,0.0,728538.56,851645.94,847782.3
543.58614,5.347,5000.0,1.0,0.0,13824283.0,13533325.0,13623199.0
544.58724,5.35,5000.0,1.0,0.0,4539255.5,4599699.0,2724426.0
558.42371,10.607,5000.0,1.0,0.0,6301050.5,6205991.5,6231361.0
559.58081,5.347,5000.0,1.0,0.0,633337.1,501209.22,625403.56
565.35734,8.477,5000.0,1.0,0.0,39911890.0,39412190.0,39504092.0
566.35885,8.477,5000.0,1.0,0.0,15558479.0,15516249.0,9301000.0
590.99508,0.643,5000.0,1.0,0.0,535535.1,523919.75,641487.1
595.5931,19.323,5000.0,1.0,0.0,6172300.5,6098358.5,5958316.0
616.46663,11.507,5000.0,1.0,0.0,3812147.8,1372959.9,3854191.8
623.6239,20.377,5000.0,1.0,0.0,16198737.0,15669314.0,15718137.0
624.62874,20.24,5000.0,1.0,0.0,4346733.5,4136138.8,3902860.8
663.45903,19.203,1710.3059895833333,1.0,0.0,59161100.0,58522852.0,58725868.0
664.46167,19.207,5000.0,1.0,0.0,26285452.0,26051214.0,25970662.0
665.46574,19.203,3336.4856770833335,1.0,0.0,3917358.8,3661131.0,3749095.0
680.48588,19.203,5000.0,1.0,0.0,17327770.0,17346728.0,17028398.0
681.48686,19.203,5000.0,1.0,0.0,6288854.0,6246046.0,6128857.0
685.43726,19.203,5000.0,1.0,0.0,2773108.5,8748284.0,2326895.8
686.44328,19.2,3336.0634765625,1.0,0.0,4699859.0,4374681.0,4424484.5
721.51034,19.697,84.9739990234375,1.0,0.0,142337150.0,144040290.0,143612740.0
722.51392,19.613,1697.5333658854167,1.0,0.0,66790972.0,66907850.0,66157736.0
723.51888,19.207,5000.0,1.0,0.0,14999615.0,14908023.0,14912263.0
727.60384,15.55,5000.0,1.0,0.0,7301074.0,7171253.5,4369608.5
728.60864,15.553,5000.0,1.0,0.0,1527725.4,1429946.0,1409152.9
783.6687,16.483,5000.0,1.0,0.0,4111447.8,3975550.5,4019350.8
1342.93677,19.205,5000.0,1.0,0.0,0.0,616885.9,773958.0
