Average m/z,Average rt,Average sn,Average score,/home/hack_summer/mass-suite/example_data/ex_2.mzM,/home/hack_summer/mass-suite/example_data/ex_1.mzM,/home/hack_summer/mass-suite/example_data/ex_3.mzM
323.30045,13.833,5000.0,1.0,1705554.4,1993529.9,1965864.2
324.23727,5.74,5000.0,1.0,1137583.5,1592659.5,1214396.0
325.16373,4.993,3334.5842,1.0,1630334.8,1637122.4,1262193.8
325.23093,5.617,5000.0,1.0,3642477.0,3720549.8,3655491.8
325.23093,11.973,5000.0,1.0,406751.6,410028.03,402888.2
326.2211,4.46,5000.0,1.0,760456.4,767417.9,752858.8
326.25375,6.107,5000.0,1.0,1334807.4,671535.6,1281685.0
327.25363,13.83,5000.0,1.0,1683647.9,1753593.1,1680473.9
328.2368,4.723,5000.0,1.0,1213304.9,1259210.1,1254138.0
331.2109,6.123,3334.8518,1.0,1013477.0,911332.0,966725.6
331.29037,15.643,3343.6377,1.0,6889893.0,6574572.0,6967374.5
332.2923,15.535,4.962,1.0,264660.9,473787.1,0.0
333.18408,5.263,5000.0,1.0,633565.75,652956.5,648341.0
333.23077,10.313,5000.0,1.0,36632504.0,36961180.0,36482004.0
334.23416,10.387,5000.0,1.0,1756440.9,6805341.0,1364536.9
335.24954,8.3,5000.0,1.0,10700735.0,10852916.0,10682159.0
336.2501,8.297,5000.0,1.0,1674311.0,1722441.5,1660051.0
338.34805,17.177,3337.9817,1.0,2724270.0,2687271.0,2743262.8
340.23447,4.93,3335.5403,1.0,365747.78,366853.9,366438.12
341.23615,8.477,5000.0,1.0,18695168.0,18878338.0,18885434.0
342.24088,8.463,5000.0,1.0,3376064.5,3334404.8,3335738.0
344.2317,3.95,5000.0,1.0,1160898.0,1185669.6,1121001.0
344.98975,0.647,3335.3772,1.0,3316868.5,3921184.2,3800879.0
345.18997,5.72,5000.0,1.0,11135041.0,5739458.5,5658516.5
346.1924,5.72,5000.0,1.0,799898.8,900254.3,840319.06
347.19092,11.72,5000.0,1.0,2122296.2,1200061.4,2144806.5
347.19785,5.66,1668.709,1.0,5054766.5,3816046.8,3588995.5
347.36453,6.19,5000.0,1.0,2395344.8,2409696.8,2436491.5
348.23404,9.767,5000.0,1.0,775863.06,786121.7,821433.4
348.31763,15.647,1684.9828,1.0,5870497.0,5682825.0,5906875.5
349.30124,13.91,5000.0,1.0,4884420.0,4916014.0,4869660.0
