Average m/z,Average rt,Average sn,Sample-T0,Sample-15min,Sample-30min,Sample-1h,Sample-2.5h,Sample-4h,Sample-6h
101.00764,13.852,2505.3682,0,0,0,112599.4933,0,41898.89667,10998.228
101.10342,19.995,3.1949096,174612.548,74280.53267,71689.70433,89355.63567,22638.042,24477.80233,20503.45333
101.10361,19.358,3.8449094,308840.0567,42392.93967,63789.64733,41809.713,24914.087,20442.769,15066.79867
101.10368,18.838,3.2771,174853.3833,41166.16533,63856.88667,43672.41667,22799.149,12337.909,18967.31967
101.94061,21.46,2.5895176,74534.56,94320.32833,257303.8747,122016.0767,120769.53,141982.9323,126932.46
101.96085,7.162,2.733,76689.31833,29566.198,10839.01367,44264.31167,93660.31333,111546.7667,25725.35333
101.9609,12.887,337.93716,131799.6867,554616.78,0,472634.6867,0,220932.25,85117.06733
101.96103,8.489,3.633611,131191.9933,0,13655.18733,0,117218.8887,52504.51333,157183.9557
101.96109,10.376,419.55856,29099.45,0,198096.5753,0,82404.07,18662.66933,97677.82333
101.9613,15.356,1003.3719,0,0,0,307947.7667,9357.261667,0,303111.1
101.96131,9.201,3.3527858,84317.46,56854.69333,148558.2067,13043.11333,36836.44333,58011.00833,186598.8633
101.96156,14.11,628.72266,0,473886.2133,264159.7,0,0,257784.5093,0
101.96179,11.211,3.5026248,169324.1833,86894.83833,192654.5333,0,75549.35333,24963.15333,109166.54
101.96222,12.098,7.6926003,73615.14667,0,216764.5833,225845.5,0,0,0
101.9623,9.84,10.158,0,0,178733.4167,0,0,0,0
101.9629,14.78,3.152,0,0,265200.1667,0,0,0,0
101.96299,13.488,7.4083633,0,470135.4333,254000.2,487356.8833,0,457652.5333,234658.5667
101.96413,16.585,5.7250004,0,0,23524.578,449983,0,0,268485.4167
101.96445,18.977,21.291037,1999069.3,1526023.733,1643572.7,2073917.5,1924154.9,1883747.167,1758937.167
101.96471,19.542,13.430563,2000061.5,1981033.133,1358376.85,1728275.033,1272781.9,1266803.333,1147224.167
101.96475,18.444,15.319125,1337685.033,210259.7467,748072.2167,1464889.2,1927870.567,1879475.533,1599136.4
101.96478,20.25,3.3058078,2047071.133,1509315.067,1104025.68,2096679.6,1922233.933,1882160.567,956835.0667
101.9652,17.616,8.066428,0,106690.2067,0,440161.6,0,0,375994.3
101.96636,20.962,2274.5542,31954.14,108823.3167,70553.08333,159064.2833,76071.26667,117516.54,108094.8863
102.01174,2.923,2.6580002,0,932799.46,65810.13333,364156.4667,0,0,0
102.01246,2.443,3.1269999,0,931116.6,971899.3333,1321315.967,4609238,1900875.667,705954.2667
102.01252,1.604,5.603,11554117.33,7945025.5,7665815.667,8909342.333,8166203.167,7540878.167,6324123.333
102.01274,0.956,26.889395,11723464,9481970,7452301.167,7914747.667,8056070.167,7659913.667,6795689.667
102.01384,0.391,7.5658007,0,2640471.233,1432572.213,853852.6267,0,0,0
102.01391,22.015,2.8522725,0,854262.7333,1613994.667,364653.0833,0,0,1465748.667
102.0153,21.71,4.35,0,0,2051783.167,0,0,0,0
102.01543,21.197,867.8693,191468.7133,1336945.393,246495.0993,477852.35,174716.8333,208784.39,1195141.773
102.1275,18.4,16.936258,1784649.667,1754469.1,1779082.267,1809889.2,1665410.433,1034334.967,1412185.2
102.12765,19.149,20.084852,1777912.167,1753475.067,1772544.667,1518062.833,1657116.333,1406574.867,1644230.533
102.12775,17.821,10.800714,599473.5,0,169496.3867,0,549860.5,0,0
102.12778,19.576,15.934231,0,1169963.367,1167151.8,1211587.633,0,704608.4933,1092635.7
102.12837,19.959,7.1542997,0,706851.55,0,603051.5333,0,655696.1333,690923.46
102.1286,16.777,4.500111,263478.98,0,24966.52867,0,0,150713.4667,203575.4
102.12891,15.94,3.6685002,0,446180.7733,153570.4667,0,0,0,0
102.12967,3.18,22.765299,0,0,461182.5787,235104.1867,7307.977333,1097560.733,1012705.933
102.1297,13.958,2.6443331,0,21642.92,107029.74,28425.855,0,14396.54167,0
102.1297,16.34,3.81,0,428124.8667,0,0,0,0,0
102.13012,11.547,3.2206666,0,25081.32,222349.4667,0,0,10028.925,0
102.13012,12.622,3.3946667,266057.6667,61771.73333,111859.1667,10508.63733,0,9469.910667,0
102.13017,13.215,3.7294998,276020.6333,0,0,59916.09333,0,19250.448,0
102.13041,5.874,3.0694,0,19877.71667,179091.53,15047.48567,9192.388,0,0
103.95709,21.306,177.4585,88705.72133,108782.5047,99555.472,94273.67533,79915.58333,74196.158,103131.5247
103.96017,18.79,3.1149998,171149.0903,92408.66567,61925.99267,127092.6467,38569.30067,49752.013,40378.01833
103.96087,18.096,3.3081908,53681.518,70713.099,92134.33467,162828.31,43495.309,54691.706,67818.51067
